Simulation,Nb_agents,Gamma,Alpha,Beta,Blue_time,Red_time,Final_time
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
14,12,0.005,5.0,2.0,4.7,7.5,12.2
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
22,12,0.005,5.0,2.0,3.2,120.0,123.2
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
22,12,0.005,5.0,2.0,3.2,120.0,123.2
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
22,12,0.005,5.0,2.0,3.2,120.0,123.2
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
22,12,0.005,5.0,2.0,3.2,120.0,123.2
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
22,12,0.005,5.0,2.0,3.2,120.0,123.2
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
22,12,0.005,5.0,2.0,3.2,120.0,123.2
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
22,12,0.005,5.0,2.0,3.2,120.0,123.2
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
22,12,0.005,5.0,2.0,3.2,120.0,123.2
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
22,12,0.005,5.0,2.0,3.2,120.0,123.2
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
22,12,0.005,5.0,2.0,3.2,120.0,123.2
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
22,12,0.005,5.0,2.0,3.2,120.0,123.2
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
22,12,0.005,5.0,2.0,3.2,120.0,123.2
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
22,12,0.005,5.0,2.0,3.2,120.0,123.2
49,12,0.005,5.0,2.0,6.8500000000000005,9.4,16.25
22,12,0.005,5.0,2.0,3.2,120.0,123.2
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
3,12,0.005,5.0,2.0,4.4,7.4,11.8
